順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
25,岩田　稔,阪神,2.54,22,9,8,0,0,.529,601,148.2,123,13,43,2,116,50,42,1.12,3.58
26,モスコーソ,DeNA,3.39,24,9,9,0,0,.500,608,146.0,133,15,45,2,96,57,55,1.22,4.11
27,中田　賢一,ソフトバンク,4.34,25,11,7,0,0,.611,623,145.0,139,10,65,8,116,77,70,1.41,3.93
28,内海　哲也,巨人,3.17,22,7,9,0,0,.438,603,144.2,139,11,36,5,105,51,51,1.21,3.49
29,成瀬　善久,ロッテ,4.67,23,9,11,0,0,.450,614,142.2,153,18,41,4,88,78,74,1.36,4.47
30,菊池　雄星,西武,3.54,23,5,11,0,0,.313,615,139.2,133,9,78,5,111,61,55,1.51,4.15
31,ナーブソン,ヤクルト,4.53,24,4,11,0,0,.267,593,137.0,136,16,53,2,96,75,69,1.38,4.44
32,上沢　直之,日本ハム,3.19,23,8,8,0,1,.500,559,135.1,113,14,45,7,105,49,48,1.17,4.07
33,攝津　正,ソフトバンク,3.90,22,10,8,0,0,.556,576,134.0,113,10,59,8,85,63,58,1.28,4.32
34,藤岡　貴裕,ロッテ,4.48,27,6,10,0,1,.375,584,132.2,142,19,51,4,97,71,66,1.45,4.70
35,バリントン,広島,4.58,23,9,8,0,0,.529,566,131.2,145,14,32,10,85,77,67,1.34,4.15
36,大竹　寛,巨人,3.98,22,9,6,0,0,.600,546,129.0,127,13,34,4,79,60,57,1.25,4.04
37,山口　俊,DeNA,2.90,33,8,5,0,3,.615,536,124.0,107,5,60,3,96,58,40,1.35,3.62
38,野上　亮磨,西武,4.49,25,8,10,0,1,.444,522,120.1,123,15,42,5,68,68,60,1.37,4.76
39,松井　裕樹,楽天,3.80,27,4,8,0,3,.333,504,116.0,91,2,67,8,126,52,49,1.36,3.11
39,唐川　侑己,ロッテ,4.66,23,4,9,0,1,.308,520,116.0,146,10,33,8,62,65,60,1.54,4.21
41,浦野　博司,日本ハム,3.68,20,7,4,0,0,.636,473,115.0,104,13,36,3,78,51,47,1.22,4.22
42,塩見　貴洋,楽天,4.71,21,8,7,0,0,.533,501,114.2,135,15,27,3,78,68,60,1.41,4.25
43,松葉　貴大,オリックス,2.77,21,8,1,0,0,.889,468,113.2,95,7,45,2,88,41,35,1.23,3.61
44,石山　泰稚,ヤクルト,4.53,35,3,8,0,2,.273,480,109.1,111,15,46,3,79,59,55,1.44,4.67
45,小川　泰弘,ヤクルト,3.66,17,9,6,0,0,.600,469,108.1,119,13,22,3,108,52,44,1.30,3.38
46,野村　祐輔,広島,4.39,19,7,8,0,0,.467,465,104.2,114,10,37,3,75,64,51,1.44,4.08
47,八木　亮祐,ヤクルト,3.91,23,5,6,0,2,.455,461,103.2,119,10,41,2,76,50,45,1.54,4.07
48,古谷　拓哉,ロッテ,4.35,23,7,5,0,0,.583,461,101.1,110,8,44,6,68,53,49,1.52,4.23
49,雄太,中日,3.21,19,6,7,0,1,.462,421,101.0,105,8,24,2,47,43,36,1.28,3.99
50,東明　大貴,オリックス,3.79,26,5,7,0,0,.417,437,99.2,93,11,45,4,80,44,42,1.38,4.39
