順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,メッセンジャー,阪神,3.20,31,13,10,0,0,.565,872,208.1,188,14,69,8,226,81,74,1.23,2.93
2,則本　昂大,楽天,3.02,30,14,10,0,0,.583,821,202.2,187,14,39,6,204,73,68,1.12,2.63
3,金子　千尋,オリックス,1.98,26,16,5,0,0,.762,763,191.0,157,7,42,3,199,48,42,1.04,2.22
4,前田　健太,広島,2.60,27,11,9,0,0,.550,746,187.0,164,12,41,2,161,61,54,1.10,2.91
5,久保　康友,DeNA,3.33,28,12,6,0,0,.667,759,178.1,181,8,54,11,119,68,66,1.32,3.45
6,山井　大介,中日,3.21,27,13,5,0,0,.722,716,173.2,156,13,66,4,103,64,62,1.28,4.10
7,スタンリッジ,ソフトバンク,3.30,26,11,8,0,0,.579,725,172.0,156,13,57,10,129,68,63,1.24,3.77
8,牧田　和久,西武,3.74,26,8,9,0,0,.471,734,170.2,170,10,50,12,89,74,71,1.29,3.93
9,能見　篤史,阪神,3.99,26,9,13,0,0,.409,720,169.1,170,16,48,3,151,81,75,1.29,3.47
10,石川　雅規,ヤクルト,4.75,27,10,10,0,0,.500,725,165.0,181,20,49,6,101,97,87,1.39,4.45
10,大野　雄大,中日,2.89,25,10,8,0,0,.556,682,165.0,156,14,47,6,119,60,53,1.23,3.74
12,涌井　秀章,ロッテ,4.21,26,8,12,0,0,.400,708,164.2,158,9,63,10,116,81,77,1.34,3.73
13,藤浪　晋太郎,阪神,3.53,25,11,8,0,0,.579,704,163.0,150,6,64,11,172,79,64,1.31,2.87
14,メンドーサ,日本ハム,3.89,26,7,13,0,0,.350,698,162.0,170,6,45,10,119,75,70,1.33,3.13
15,岸　孝之,西武,2.51,23,13,4,0,0,.765,630,161.1,126,16,36,2,126,48,45,1.00,3.55
16,石川　歩,ロッテ,3.43,25,10,8,0,0,.556,669,160.0,165,10,37,4,111,72,61,1.26,3.31
17,杉内　俊哉,巨人,3.16,26,10,6,0,0,.625,654,159.1,144,18,41,5,145,59,56,1.16,3.63
17,井納　翔一,DeNA,4.01,25,11,9,0,0,.550,682,159.1,163,18,49,7,104,83,71,1.33,4.32
19,菅野　智之,巨人,2.33,23,12,5,0,0,.706,640,158.2,138,12,36,2,122,50,41,1.10,3.23
20,西　勇輝,オリックス,3.29,24,12,10,0,0,.545,640,156.0,146,11,35,7,119,65,57,1.16,3.30
21,大谷　翔平,日本ハム,2.61,24,11,4,0,0,.733,639,155.1,125,7,57,4,179,50,45,1.17,2.58
22,辛島　航,楽天,3.79,25,8,13,0,0,.381,662,154.1,160,11,46,4,99,70,65,1.33,3.70
23,ディクソン,オリックス,3.33,26,9,10,0,0,.474,657,154.0,156,7,55,4,118,62,57,1.37,3.33
24,大瀬良　大地,広島,4.05,26,10,8,0,0,.556,648,151.0,165,20,40,3,116,80,68,1.36,4.16
