順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,マイコラス,巨人,2.25,27,14,8,0,0,.636,745,188.0,162,10,23,11,187,53,47,0.98,2.36
2,菊池　雄星,西武,1.97,26,16,6,0,0,.727,735,187.2,122,16,49,6,217,49,41,0.91,2.79
3,菅野　智之,巨人,1.59,25,17,5,0,0,.773,713,187.1,129,10,31,1,171,36,33,0.85,2.50
4,則本　昂大,楽天,2.57,25,15,7,0,0,.682,750,185.2,148,11,48,3,222,63,53,1.06,2.31
5,金子　千尋,オリックス,3.47,27,12,8,0,0,.600,754,184.1,160,21,56,2,141,80,71,1.17,4.02
6,岸　孝之,楽天,2.76,26,8,10,0,0,.444,703,176.1,141,19,38,3,189,56,54,1.02,3.04
7,美馬　学,楽天,3.26,26,11,8,0,0,.579,684,171.1,155,18,33,4,134,66,62,1.10,3.55
8,田口　麗斗,巨人,3.01,26,13,4,0,0,.765,709,170.2,159,14,49,4,122,59,57,1.22,3.67
9,有原　航平,日本ハム,4.74,25,10,13,0,0,.435,726,169.0,194,21,39,4,88,97,89,1.38,4.42
10,東浜　巨,ソフトバンク,2.64,24,16,5,0,0,.762,637,160.0,135,17,44,1,139,48,47,1.12,3.61
11,ブキャナン,ヤクルト,3.66,25,6,13,0,0,.316,678,159.2,158,19,56,9,112,75,65,1.34,4.47
12,秋山　拓巳,阪神,2.99,25,12,6,0,0,.667,638,159.1,158,15,16,6,123,56,53,1.09,3.21
13,涌井　秀章,ロッテ,3.99,25,5,11,0,0,.313,675,158.0,156,20,53,7,115,74,70,1.32,4.45
14,野村　祐輔,広島,2.78,25,9,5,0,0,.643,645,155.1,152,12,38,4,106,53,48,1.22,3.57
15,バンデンハーク,ソフトバンク,3.24,25,13,7,0,0,.650,623,153.0,127,18,47,2,162,57,55,1.14,3.49
16,井納　翔一,DeNA,3.84,25,6,10,0,0,.375,636,152.1,147,9,46,8,93,66,65,1.27,3.71
17,山岡　泰輔,オリックス,3.74,24,8,11,0,0,.421,618,149.1,136,8,54,2,133,62,62,1.27,3.16
