順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
18,今永　昇太,DeNA,2.98,24,11,7,0,0,.611,600,148.0,115,13,52,5,140,49,49,1.13,3.48
19,大野　雄大,中日,4.02,24,7,8,0,0,.467,629,147.2,143,17,51,6,117,71,66,1.31,4.19
20,バルデス,中日,3.76,23,6,9,0,0,.400,625,146.0,139,13,47,7,83,73,61,1.27,4.25
21,大瀬良　大地,広島,3.65,24,10,2,0,0,.833,617,145.2,143,12,43,1,109,68,59,1.28,3.60
22,野上　亮磨,西武,3.63,24,11,10,0,0,.524,577,144.0,128,10,24,5,113,62,58,1.06,3.04
23,二木　康太,ロッテ,3.39,23,7,9,0,0,.438,588,143.1,136,14,35,2,128,58,54,1.19,3.34
24,千賀　滉大,ソフトバンク,2.64,22,13,4,0,0,.765,572,143.0,107,15,46,2,151,47,42,1.07,3.38
24,メッセンジャー,阪神,2.39,22,11,5,0,0,.688,594,143.0,134,5,44,1,155,42,38,1.24,2.35
26,岡田　明丈,広島,4.00,24,12,5,0,0,.706,604,141.2,134,9,63,4,109,68,63,1.39,3.83
27,ディクソン,オリックス,3.24,25,8,9,0,0,.471,581,136.0,144,7,42,3,86,63,49,1.37,3.45
28,松葉　貴大,オリックス,4.46,23,3,12,0,0,.200,552,133.1,133,16,32,2,72,70,66,1.24,4.37
29,ウィーランド,DeNA,2.98,21,10,2,0,0,.833,541,133.0,114,14,37,2,112,46,44,1.14,3.68
30,原　樹理,ヤクルト,3.84,26,3,11,0,0,.214,554,131.1,133,19,34,6,115,66,56,1.27,4.14
31,薮田　和樹,広島,2.58,38,15,3,0,3,.833,536,129.0,102,10,51,4,115,42,37,1.19,3.62
32,能見　篤史,阪神,3.72,23,6,6,0,0,.500,533,128.1,117,14,40,2,119,57,53,1.22,3.67
33,唐川　侑己,ロッテ,4.49,21,5,10,0,0,.333,555,126.1,135,18,37,7,86,69,63,1.36,4.66
34,ウルフ,西武,3.73,23,9,4,0,0,.692,532,125.1,132,11,36,1,74,69,52,1.34,3.92
35,小川　泰弘,ヤクルト,2.83,22,8,7,0,1,.533,509,124.0,104,11,39,0,109,42,39,1.15,3.46
36,濵口　遥大,DeNA,3.57,22,10,6,0,0,.625,546,123.2,116,9,69,2,136,54,49,1.50,3.59
37,石川　雅規,ヤクルト,5.11,23,4,14,0,0,.222,540,123.1,149,18,28,4,88,72,70,1.44,4.32
38,加藤　貴之,日本ハム,3.53,21,6,6,0,0,.500,521,120.0,125,13,38,1,99,51,47,1.36,3.85
39,小笠原　慎之介,中日,4.84,22,5,8,0,0,.385,522,119.0,124,21,53,1,105,65,64,1.49,4.99
40,西　勇輝,オリックス,3.44,17,5,6,0,0,.455,483,117.2,108,14,29,7,88,46,45,1.16,4.09
41,高梨　裕稔,日本ハム,3.68,22,7,7,0,0,.500,504,117.1,110,13,40,3,100,51,48,1.28,3.93
42,九里　亜蓮,広島,3.64,35,9,5,0,2,.643,494,116.1,111,7,44,4,97,51,47,1.33,3.47
42,十亀　剣,西武,3.40,20,8,7,0,0,.533,500,116.1,125,10,35,3,83,50,44,1.38,3.79
44,星　知弥,ヤクルト,4.73,24,4,7,0,2,.364,494,110.1,116,14,49,5,71,64,58,1.50,4.92
45,又吉　克樹,中日,2.13,50,8,3,0,21,.727,434,110.0,84,7,36,5,78,27,26,1.09,3.65
46,石田　健大,DeNA,3.40,18,6,6,0,0,.500,436,106.0,90,10,34,0,103,43,40,1.17,3.37
47,辛島　航,楽天,4.19,19,8,8,0,0,.500,424,103.0,99,11,27,1,74,51,48,1.22,3.89
48,メンドーサ,日本ハム,3.97,20,3,7,0,0,.300,437,99.2,106,9,38,8,56,45,44,1.44,4.52
49,石川　柊太,ソフトバンク,3.29,34,8,3,0,1,.727,409,98.1,69,11,50,7,99,38,36,1.21,4.30
50,岩貞　祐太,阪神,4.96,18,5,10,0,0,.333,428,98.0,93,14,44,4,93,56,54,1.40,4.55
