順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
34,菊池　雄星,西武,2.84,23,9,10,0,0,.474,542,133.0,97,9,55,2,122,48,42,1.14,3.43
34,バルデス,中日,3.18,22,5,8,0,0,.385,560,133.0,130,6,36,2,93,56,47,1.25,3.17
36,戸村　健次,楽天,3.84,37,7,11,0,1,.389,572,131.1,152,7,40,4,78,68,56,1.46,3.63
36,福井　優也,広島,3.56,21,9,6,0,0,.600,541,131.1,106,10,53,5,99,53,52,1.21,3.93
38,ディクソン,オリックス,2.48,20,9,9,0,0,.500,538,130.2,119,3,44,1,88,39,36,1.25,3.08
39,久保　康友,DeNA,4.12,21,8,7,0,0,.533,523,122.1,130,16,27,5,88,64,56,1.28,4.17
40,イ・デウン,ロッテ,3.84,37,9,9,0,4,.500,536,119.2,121,11,63,3,106,63,51,1.54,4.15
41,山口　俊,DeNA,4.49,20,3,6,0,0,.333,508,114.1,127,13,42,3,119,67,57,1.48,3.70
42,石山　泰稚,ヤクルト,3.64,21,5,5,0,0,.500,479,111.1,118,7,38,2,78,50,45,1.40,3.59
43,岸　孝之,西武,3.02,16,5,6,0,0,.455,434,110.1,75,6,25,5,91,40,37,0.91,2.99
44,大瀬良　大地,広島,3.13,51,3,8,2,20,.273,475,109.1,111,5,31,1,97,53,38,1.30,2.82
45,レイ,楽天,3.79,22,5,7,0,2,.417,461,107.0,107,14,31,7,76,50,45,1.29,4.47
46,有原　航平,日本ハム,4.79,18,8,6,0,0,.571,453,103.1,113,13,32,3,81,60,55,1.40,4.20
47,菊池　保則,楽天,3.76,18,4,5,0,0,.444,448,103.0,96,5,42,5,71,47,43,1.34,3.74
48,三浦　大輔,DeNA,4.13,17,6,6,0,0,.500,416,98.0,103,9,25,1,62,47,45,1.31,3.84
49,塩見　貴洋,楽天,3.56,16,3,5,0,0,.375,392,96.0,87,14,15,3,78,42,38,1.06,3.95
50,杉内　俊哉,巨人,3.95,17,6,6,0,0,.500,401,95.2,88,9,35,3,93,42,42,1.29,3.59
