順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,大野　雄大,中日,2.52,28,11,10,0,1,.524,826,207.1,169,12,47,3,154,67,58,1.04,3.10
2,前田　健太,広島,2.09,29,15,8,0,0,.652,821,206.1,168,5,41,6,175,49,48,1.01,2.41
3,藤浪　晋太郎,阪神,2.40,28,14,7,0,0,.667,840,199.0,162,9,82,11,221,70,53,1.23,2.89
4,則本　昂大,楽天,2.91,28,10,11,0,0,.476,797,194.2,176,14,48,4,215,68,63,1.15,2.65
5,ジョンソン,広島,1.85,28,14,7,0,0,.667,773,194.1,146,5,67,2,150,43,40,1.10,2.98
6,メッセンジャー,阪神,2.97,29,9,12,0,0,.429,799,193.2,163,10,60,4,194,68,64,1.15,2.78
7,涌井　秀章,ロッテ,3.39,28,15,9,0,0,.625,786,188.2,178,11,57,8,117,79,71,1.25,3.67
8,菅野　智之,巨人,1.91,25,10,11,0,0,.476,710,179.0,148,10,41,7,126,46,38,1.06,3.18
9,石川　歩,ロッテ,3.27,27,12,12,0,0,.500,751,178.2,191,15,34,5,126,68,65,1.26,3.46
10,岩田　稔,阪神,3.22,27,8,10,0,0,.444,722,170.1,168,13,49,5,119,66,61,1.27,3.65
11,黒田　博樹,広島,2.55,26,11,8,0,0,.579,685,169.2,158,8,29,7,106,53,48,1.10,3.12
12,小川　泰弘,ヤクルト,3.11,27,11,8,0,0,.579,700,168.0,152,18,48,4,128,66,58,1.19,3.92
13,武田　翔太,ソフトバンク,3.17,25,13,6,0,0,.684,684,164.2,142,14,59,2,163,60,58,1.22,3.36
14,高木　勇人,巨人,3.19,26,9,10,0,0,.474,678,163.2,143,16,47,8,131,66,58,1.16,3.78
15,西　勇輝,オリックス,2.38,24,10,6,0,0,.625,655,162.2,140,11,43,6,143,46,43,1.13,3.14
16,東明　大貴,オリックス,3.35,25,10,8,0,0,.556,663,161.1,148,16,41,5,118,61,60,1.17,3.76
17,大谷　翔平,日本ハム,2.24,22,15,5,0,0,.750,621,160.2,100,7,46,3,196,40,40,0.91,2.16
18,能見　篤史,阪神,3.72,27,11,13,0,0,.458,672,159.2,170,13,38,2,125,73,66,1.30,3.35
19,吉川　光夫,日本ハム,3.84,26,11,8,0,0,.579,684,159.1,151,16,57,11,93,72,68,1.31,4.54
20,中田　賢一,ソフトバンク,3.24,24,9,7,0,0,.563,657,155.1,134,17,61,9,130,60,56,1.26,4.22
21,十亀　剣,西武,3.55,26,11,7,0,0,.611,644,152.0,145,19,53,8,107,62,60,1.30,4.54
22,メンドーサ,日本ハム,3.51,26,10,8,0,1,.556,626,148.2,134,8,62,8,85,63,58,1.32,4.07
23,ポレダ,巨人,2.94,24,8,8,0,0,.500,619,147.0,133,6,46,8,101,57,48,1.22,3.34
24,石川　雅規,ヤクルト,3.31,25,13,9,0,0,.591,598,146.2,150,16,28,3,90,59,54,1.21,3.92
25,マイコラス,巨人,1.92,21,13,3,0,0,.813,557,145.0,107,8,23,1,107,34,31,0.90,2.86
26,スタンリッジ,ソフトバンク,3.74,23,10,7,0,0,.588,617,144.1,150,12,44,8,81,64,60,1.34,4.16
27,山井　大介,中日,3.92,33,4,12,2,5,.250,589,140.0,132,13,50,2,79,69,61,1.30,4.27
27,若松　駿太,中日,2.12,23,10,4,0,0,.714,575,140.0,111,10,50,2,113,35,33,1.15,3.53
29,牧田　和久,西武,3.66,34,9,11,3,0,.450,596,137.2,143,7,44,11,66,68,56,1.36,3.98
30,井納　翔一,DeNA,3.27,21,5,8,0,0,.385,598,134.2,164,13,40,3,92,56,49,1.51,3.97
31,野上　亮磨,西武,4.22,27,7,7,0,0,.500,565,134.1,127,15,46,4,77,68,63,1.29,4.54
32,攝津　正,ソフトバンク,3.22,20,10,7,0,0,.588,566,134.0,130,14,45,4,92,61,48,1.31,4.20
33,大嶺　祐太,ロッテ,3.17,24,8,7,0,0,.533,574,133.1,141,8,46,5,70,49,47,1.40,4.00
