順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,則本　昂大,楽天,2.91,28,11,11,0,0,.500,820,195.0,192,12,50,6,216,87,63,1.24,2.57
2,涌井　秀章,ロッテ,3.01,26,10,7,0,0,.588,793,188.2,195,15,48,4,118,73,63,1.29,3.73
3,メッセンジャー,阪神,3.01,28,12,11,0,0,.522,791,185.1,178,11,60,1,177,73,62,1.28,2.94
4,菅野　智之,巨人,2.01,26,9,6,0,0,.600,726,183.1,156,12,26,4,189,46,41,0.99,2.40
5,武田　翔太,ソフトバンク,2.95,27,14,8,0,0,.636,769,183.0,163,12,70,5,144,71,60,1.27,3.63
6,ジョンソン,広島,2.15,26,15,7,0,0,.682,736,180.1,154,11,49,3,141,50,43,1.13,3.18
7,ディクソン,オリックス,4.36,27,9,11,0,0,.450,746,171.1,183,17,71,5,139,86,83,1.48,4.12
8,藤浪　晋太郎,阪神,3.25,26,7,11,0,0,.389,734,169.0,152,11,70,8,176,78,61,1.31,3.27
8,千賀　滉大,ソフトバンク,2.61,25,12,3,0,0,.800,681,169.0,125,16,53,6,181,52,49,1.05,3.26
10,西　勇輝,オリックス,4.14,26,10,12,0,0,.455,712,165.1,171,4,48,8,108,80,76,1.32,3.13
11,和田　毅,ソフトバンク,3.04,24,15,5,0,0,.750,662,163.0,138,22,38,5,157,58,55,1.08,3.74
12,石川　歩,ロッテ,2.16,23,14,5,0,0,.737,643,162.1,142,16,22,6,104,40,39,1.01,3.64
13,スタンリッジ,ロッテ,3.56,27,8,8,0,0,.500,686,162.0,168,13,45,8,99,72,64,1.31,3.83
13,田口　麗斗,巨人,2.72,26,10,10,0,0,.500,668,162.0,150,15,49,6,126,54,49,1.23,3.79
13,金子　千尋,オリックス,3.83,24,7,9,0,0,.438,676,162.0,143,13,59,2,125,71,69,1.25,3.75
16,岩貞　祐太,阪神,2.90,25,10,9,0,0,.526,644,158.1,119,10,55,3,156,56,51,1.10,3.03
17,小川　泰弘,ヤクルト,4.50,25,8,9,0,0,.471,668,158.0,149,22,52,6,114,82,79,1.27,4.59
18,有原　航平,日本ハム,2.94,22,11,9,0,0,.550,640,156.0,150,13,38,2,103,52,51,1.21,3.63
19,美馬　学,楽天,4.30,26,9,9,0,0,.500,678,155.0,181,14,32,8,116,80,74,1.37,3.57
20,石田　健大,DeNA,3.12,25,9,4,0,0,.692,608,153.0,128,21,36,1,132,53,53,1.07,3.88
21,野村　祐輔,広島,2.71,25,16,3,0,0,.842,633,152.2,139,11,37,6,91,50,46,1.15,3.71
22,黒田　博樹,広島,3.09,24,10,8,0,0,.556,623,151.2,152,14,30,3,98,54,52,1.20,3.62
22,井納　翔一,DeNA,3.50,23,7,11,0,0,.389,654,151.2,156,14,47,6,113,65,59,1.34,3.84
24,塩見　貴洋,楽天,3.89,24,8,10,0,0,.444,610,148.0,145,14,37,3,111,67,64,1.23,3.64
25,能見　篤史,阪神,3.67,26,8,12,0,1,.400,634,147.1,140,17,52,6,126,67,60,1.30,4.05
26,菊池　雄星,西武,2.58,22,12,7,0,0,.632,595,143.0,117,7,67,2,127,51,41,1.29,3.43
27,山中　浩史,ヤクルト,3.54,22,6,12,0,0,.333,578,140.0,140,17,20,9,54,56,55,1.14,4.51
27,大谷　翔平,日本ハム,1.86,21,10,4,0,1,.714,548,140.0,89,4,45,8,174,33,29,0.96,2.14
29,山口　俊,DeNA,2.86,19,11,5,0,0,.688,570,138.2,112,10,44,4,121,48,44,1.13,3.35
30,今永　昇太,DeNA,2.93,22,8,9,0,0,.471,541,135.1,108,16,38,2,136,47,44,1.08,3.51
31,東浜　巨,ソフトバンク,3.00,23,9,6,0,0,.600,545,135.0,113,13,37,2,100,49,45,1.11,3.76
32,松葉　貴大,オリックス,3.26,28,7,9,0,0,.438,563,132.2,128,10,41,3,82,52,48,1.27,3.86
33,メンドーサ,日本ハム,3.88,23,7,8,0,1,.467,573,132.1,135,13,45,4,77,64,57,1.36,4.30
34,吉見　一起,中日,3.08,21,6,7,0,0,.462,535,131.1,134,11,27,0,81,49,45,1.23,3.55
35,岸　孝之,西武,2.49,19,9,7,0,0,.563,541,130.1,123,8,36,1,104,42,36,1.22,3.17
36,大野　雄大,中日,3.54,19,7,10,0,0,.412,547,129.2,126,11,37,2,85,59,51,1.26,3.81
37,バルデス,中日,3.51,20,6,7,0,0,.462,534,125.2,122,17,39,8,103,54,49,1.28,4.36
38,東明　大貴,オリックス,4.94,24,1,10,0,1,.091,567,122.0,157,13,54,3,100,70,67,1.73,4.22
39,ジョーダン,中日,4.24,22,6,6,0,0,.500,523,121.0,111,12,54,8,108,62,57,1.36,4.16
40,髙橋　光成,西武,4.42,22,4,11,0,0,.267,529,118.0,134,10,51,5,89,73,58,1.57,4.14
41,高木　勇人,巨人,4.31,25,5,9,0,0,.357,504,117.0,121,15,36,7,91,61,56,1.34,4.33
42,石川　雅規,ヤクルト,4.47,20,8,8,0,0,.500,500,116.2,126,15,33,2,52,59,58,1.36,4.77
43,二木　康太,ロッテ,5.34,22,7,9,0,0,.438,518,116.1,143,12,34,2,81,74,69,1.52,3.97
44,若松　駿太,中日,4.06,19,7,8,0,1,.467,497,115.1,127,10,37,0,85,55,52,1.42,3.74
45,釜田　佳直,楽天,4.14,20,7,5,0,0,.583,510,113.0,124,12,50,8,77,56,52,1.54,4.68
46,高梨　裕稔,日本ハム,2.38,37,10,2,0,1,.833,439,109.2,79,6,36,4,86,30,29,1.05,3.36
46,吉川　光夫,日本ハム,4.19,27,7,6,3,0,.538,494,109.2,125,9,52,5,65,53,51,1.61,4.56
48,内海　哲也,巨人,3.94,18,9,6,0,0,.600,442,107.1,104,10,22,5,81,47,47,1.17,3.58
49,野上　亮磨,西武,3.87,22,3,9,1,1,.250,474,107.0,112,10,43,5,62,56,46,1.45,4.52
50,バース,日本ハム,3.65,37,8,8,0,6,.500,452,103.2,102,7,47,4,71,48,42,1.44,3.99
