順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,金子　千尋,オリックス,2.01,29,15,8,0,0,.652,881,223.1,166,10,58,3,200,55,50,1.00,2.73
2,田中　将大,楽天,1.27,28,24,0,1,0,1.000,822,212.0,168,6,32,3,183,35,30,0.94,2.26
3,メッセンジャー,阪神,2.89,30,12,8,0,0,.600,811,196.1,174,13,56,4,183,68,63,1.17,3.03
4,能見　篤史,阪神,2.69,25,11,7,0,0,.611,724,180.2,155,18,41,0,127,57,54,1.08,3.67
5,岸　孝之,西武,3.08,26,11,5,0,0,.688,716,178.1,155,17,31,6,138,63,61,1.04,3.42
6,小川　泰弘,ヤクルト,2.93,26,16,4,0,0,.800,722,178.0,155,9,45,2,135,63,58,1.12,3.04
7,菅野　智之,巨人,3.12,27,13,6,0,0,.684,729,176.0,166,10,37,5,155,70,61,1.15,2.81
8,三浦　大輔,DeNA,3.94,27,9,13,0,0,.409,731,175.2,181,26,33,1,109,88,77,1.22,4.38
8,前田　健太,広島,2.10,26,15,7,0,0,.682,690,175.2,129,13,40,2,158,46,41,0.96,2.98
10,バリントン,広島,3.23,28,11,9,0,0,.550,710,172.2,154,17,41,14,117,67,62,1.13,3.97
11,則本　昂大,楽天,3.34,27,15,8,0,0,.652,695,170.0,142,14,51,6,134,65,63,1.14,3.60
12,唐川　侑己,ロッテ,4.18,27,9,11,0,0,.450,728,168.0,185,12,46,3,80,85,78,1.38,3.94
13,西　勇輝,オリックス,3.63,28,9,8,0,0,.529,708,166.0,178,13,42,14,137,74,67,1.33,3.50
13,牧田　和久,西武,2.60,26,8,9,0,0,.471,690,166.0,169,13,39,9,87,54,48,1.25,3.94
15,十亀　剣,西武,3.45,28,8,8,0,1,.500,688,164.1,158,12,44,9,122,68,63,1.23,3.53
16,大竹　寛,広島,3.37,25,10,10,0,0,.500,675,163.0,152,13,49,4,100,64,61,1.23,3.89
17,攝津　正,ソフトバンク,3.05,25,15,8,0,0,.652,662,162.1,138,11,42,8,146,68,55,1.11,3.13
18,スタンリッジ,阪神,2.74,26,8,12,0,0,.400,677,160.2,161,12,47,4,124,62,49,1.29,3.46
19,吉川　光夫,日本ハム,3.31,26,7,15,0,0,.318,686,160.1,150,10,57,5,125,72,59,1.29,3.53
19,内海　哲也,巨人,3.31,25,13,6,0,0,.684,675,160.1,157,11,47,6,107,68,59,1.27,3.65
21,澤村　拓一,巨人,3.13,34,5,10,0,6,.333,654,158.1,138,18,43,5,148,58,55,1.14,3.64
22,杉内　俊哉,巨人,3.35,24,11,6,0,0,.647,619,153.0,122,19,49,7,149,60,57,1.12,3.87
23,野上　亮磨,西武,3.95,30,11,7,0,1,.611,643,152.2,141,17,41,8,93,71,67,1.19,4.29
24,八木　亮祐,ヤクルト,4.44,26,5,13,0,0,.278,667,152.0,169,18,59,2,122,77,75,1.50,4.22
25,野村　祐輔,広島,3.74,23,12,6,0,0,.667,620,149.1,142,13,37,7,103,70,62,1.20,3.74
26,石川　雅規,ヤクルト,3.52,24,6,9,0,0,.400,623,148.1,149,15,33,6,85,73,58,1.23,4.06
27,三嶋　一輝,DeNA,3.94,34,6,9,0,1,.400,642,146.1,138,20,79,0,145,67,64,1.48,4.53
27,大野　雄大,中日,3.81,25,10,10,0,0,.500,624,146.1,151,12,43,5,117,65,62,1.33,3.55
29,木佐貫　洋,日本ハム,3.66,24,9,8,0,0,.529,620,145.0,141,10,50,5,95,64,59,1.32,3.82
30,西野　勇士,ロッテ,3.80,24,9,6,0,0,.600,588,139.2,140,5,40,3,106,61,59,1.29,2.95
31,藤浪　晋太郎,阪神,2.75,24,10,6,0,0,.625,563,137.2,119,10,44,2,126,48,42,1.18,3.24
32,ディクソン,オリックス,2.77,23,8,8,0,0,.500,551,130.0,128,7,47,4,88,48,40,1.35,3.64
32,ウルフ,日本ハム,3.05,22,9,6,0,0,.600,550,130.0,134,6,32,5,60,50,44,1.28,3.65
34,武田　勝,日本ハム,3.91,22,8,7,0,0,.533,546,129.0,139,11,27,4,47,62,56,1.29,4.20
35,藤岡　貴裕,ロッテ,3.95,39,6,10,0,3,.375,509,118.1,116,9,46,6,76,54,52,1.37,4.12
36,藤井　秀悟,DeNA,3.54,21,6,5,0,0,.545,510,117.0,114,14,58,4,61,51,46,1.47,5.17
37,カブレラ,中日,3.09,20,6,5,0,0,.545,492,116.2,109,6,36,6,98,48,40,1.24,3.16
38,村中　恭兵,ヤクルト,5.00,25,5,9,0,0,.357,520,111.2,139,12,55,8,65,65,62,1.74,5.02
39,菊池　雄星,西武,1.92,17,9,4,0,0,.692,441,108.0,79,5,44,3,92,28,23,1.14,3.32
40,ホールトン,巨人,3.73,18,9,4,0,0,.692,426,103.2,85,14,32,5,67,45,43,1.13,4.62
41,帆足　和幸,ソフトバンク,4.58,19,8,7,0,0,.533,413,98.1,98,5,40,6,46,50,50,1.40,4.25
41,美馬　学,楽天,4.12,18,6,5,0,0,.545,430,98.1,118,11,31,8,63,46,45,1.52,4.48
43,中田　賢一,中日,3.40,40,4,6,0,15,.400,428,98.0,85,5,45,8,83,41,37,1.33,3.59
44,山井　大介,中日,4.15,23,5,6,0,1,.455,434,97.2,105,11,44,4,63,48,45,1.53,4.65
45,武田　翔太,ソフトバンク,3.48,17,4,4,0,0,.500,415,93.0,79,3,68,6,56,38,36,1.58,4.72
45,寺原　隼人,ソフトバンク,4.65,16,4,7,0,0,.364,398,93.0,97,9,30,1,56,51,48,1.37,4.17
47,涌井　秀章,西武,3.90,45,5,7,7,13,.417,398,92.1,89,4,29,8,79,51,40,1.28,3.14
47,榎田　大樹,阪神,3.61,16,4,9,0,0,.308,389,92.1,70,11,38,8,78,39,37,1.17,4.47
49,谷元　圭介,日本ハム,3.93,31,6,6,1,3,.500,388,89.1,92,10,38,2,53,45,39,1.46,4.66
49,井納　翔一,DeNA,5.34,18,5,7,0,2,.417,401,89.1,101,7,35,2,66,56,53,1.52,3.90
