順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,前田　健太,広島,1.53,29,14,7,0,0,.667,820,206.1,161,6,44,9,171,46,35,0.99,2.60
2,成瀬　善久,ロッテ,2.83,28,12,11,0,0,.522,806,200.2,176,21,34,2,122,71,63,1.05,3.79
3,メッセンジャー,阪神,2.52,30,10,11,0,0,.476,801,196.2,165,7,65,4,166,65,55,1.17,2.87
4,攝津　正,ソフトバンク,1.91,27,17,5,0,0,.773,770,193.1,148,8,54,2,153,46,41,1.04,2.94
5,岸　孝之,西武,2.45,26,11,12,0,0,.478,729,187.2,141,9,40,4,150,52,51,0.96,2.85
6,内海　哲也,巨人,1.98,28,15,6,0,0,.714,757,186.0,173,8,40,9,121,47,41,1.15,3.15
7,武田　勝,日本ハム,2.36,28,11,7,0,0,.611,709,182.2,159,10,30,4,90,50,48,1.03,3.39
7,三浦　大輔,DeNA,2.86,25,9,9,0,0,.500,738,182.2,160,15,48,3,107,61,58,1.14,3.79
9,能見　篤史,阪神,2.42,29,10,10,0,0,.500,737,182.0,157,14,37,3,172,61,49,1.07,2.86
10,牧田　和久,西武,2.43,27,13,9,0,0,.591,739,178.0,175,4,36,9,108,55,48,1.19,2.96
11,大隣　憲司,ソフトバンク,2.03,25,12,8,0,0,.600,705,177.1,147,9,46,4,134,45,40,1.09,3.11
12,バリントン,広島,3.23,29,7,14,0,0,.333,733,175.2,166,8,44,5,137,79,63,1.20,2.92
13,吉川　光夫,日本ハム,1.71,25,14,5,0,0,.737,668,173.2,108,6,45,4,158,35,33,0.88,2.58
14,田中　将大,楽天,1.87,22,10,4,0,0,.714,696,173.0,160,4,19,2,169,45,36,1.03,1.83
15,野村　祐輔,広島,1.98,27,9,11,0,0,.450,704,172.2,143,6,52,2,103,46,38,1.13,3.32
15,石川　雅規,ヤクルト,3.60,27,8,11,0,0,.421,721,172.2,175,14,41,5,100,77,69,1.25,3.78
17,澤村　拓一,巨人,2.86,27,10,10,0,0,.500,716,169.2,172,12,54,4,138,56,54,1.33,3.44
18,グライシンガー,ロッテ,2.24,25,12,8,0,0,.600,666,168.2,144,5,24,5,112,52,42,1.00,2.69
19,館山　昌平,ヤクルト,2.25,25,12,8,0,1,.600,676,168.1,141,7,45,6,119,45,42,1.10,3.10
20,ロマン,ヤクルト,3.04,26,9,11,0,0,.450,703,165.2,152,8,69,6,96,59,56,1.33,3.89
21,杉内　俊哉,巨人,2.04,24,12,4,0,0,.750,634,163.0,116,6,43,3,172,42,37,0.98,2.33
22,ホールトン,巨人,2.45,25,12,8,0,0,.600,630,158.0,116,11,44,8,132,46,43,1.01,3.32
23,赤川　克紀,ヤクルト,3.79,28,8,9,0,0,.471,668,156.2,156,13,52,9,91,73,66,1.33,4.17
24,美馬　学,楽天,3.08,23,8,10,0,0,.444,633,154.2,142,12,36,5,108,55,53,1.15,3.53
25,岩田　稔,阪神,3.52,25,8,14,0,0,.364,648,153.1,157,10,41,2,107,73,60,1.29,3.35
26,木佐貫　洋,オリックス,2.60,24,5,9,0,0,.357,628,152.1,138,8,42,3,96,47,44,1.18,3.41
27,高崎　健太郎,DeNA,3.20,24,7,10,0,0,.412,643,151.2,155,9,40,4,97,63,54,1.29,3.48
28,スタンリッジ,阪神,2.69,25,7,12,0,0,.368,619,150.1,134,8,45,11,102,50,45,1.19,3.53
29,ウルフ,日本ハム,2.66,26,10,9,0,0,.526,628,149.0,155,2,40,6,83,49,44,1.31,3.05
30,山田　大樹,ソフトバンク,2.78,24,8,10,0,0,.444,623,148.2,129,10,57,9,83,51,46,1.25,4.21
31,山内　壮馬,中日,2.43,24,10,7,0,0,.588,589,148.0,128,8,32,4,68,42,40,1.08,3.61
32,大竹　寛,広島,2.36,24,11,5,0,0,.688,618,144.2,144,6,43,5,85,44,38,1.29,3.46
33,村中　恭兵,ヤクルト,3.88,25,10,7,0,0,.588,633,144.0,155,6,60,5,89,65,62,1.49,3.76
34,中田　賢一,中日,2.83,22,7,10,0,0,.412,562,140.0,119,6,33,9,106,46,44,1.09,3.02
35,吉見　一起,中日,1.75,19,13,4,0,0,.765,529,138.2,121,5,13,0,76,28,27,0.97,2.77
36,石井　一久,西武,3.33,24,10,5,0,0,.667,560,132.1,126,14,44,4,74,57,49,1.28,4.47
37,西　勇輝,オリックス,2.78,19,8,3,0,0,.727,503,123.0,106,3,33,5,87,41,38,1.13,2.95
38,岩嵜　翔,ソフトバンク,3.14,29,5,10,0,3,.333,498,120.1,113,5,27,3,77,46,42,1.16,3.13
39,野上　亮磨,西武,2.97,23,8,5,0,0,.615,496,115.1,128,8,36,5,49,42,38,1.42,4.24
39,藤岡　貴裕,ロッテ,3.36,21,6,7,0,0,.462,508,115.1,113,9,51,4,83,48,43,1.42,4.10
41,国吉　佑樹,DeNA,3.67,19,4,12,0,0,.250,498,112.2,108,10,59,2,95,57,46,1.48,4.16
42,釜田　佳直,楽天,3.28,20,7,4,0,0,.636,501,112.1,126,4,38,7,77,48,41,1.46,3.41
43,ヒメネス,楽天,3.15,18,5,10,0,0,.333,460,108.2,102,6,39,6,63,45,38,1.30,3.89
44,岩田　慎司,中日,2.74,20,5,5,0,0,.500,438,108.1,87,11,26,7,84,36,33,1.04,3.80
45,久保　康友,阪神,2.33,18,4,7,0,0,.364,442,108.0,99,7,25,5,65,31,28,1.15,3.59
46,中山　慎也,オリックス,2.87,53,1,7,0,14,.125,447,106.2,105,4,30,3,93,39,34,1.27,2.79
46,塩見　貴洋,楽天,3.71,19,6,10,0,0,.375,450,106.2,102,9,33,4,67,45,44,1.27,3.97
48,斎藤　佑樹,日本ハム,3.98,19,5,8,0,0,.385,480,104.0,126,8,48,2,59,60,46,1.67,4.40
49,辛島　航,楽天,2.53,16,8,5,0,0,.615,414,103.1,87,4,22,5,79,30,29,1.05,2.88
50,山井　大介,中日,1.43,56,4,3,15,13,.571,385,101.0,71,3,23,2,80,20,16,0.93,2.63
