順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,前田　健太,広島,2.21,28,15,8,0,0,.652,848,215.2,166,15,46,7,174,55,53,0.98,3.11
2,金子　千尋,オリックス,3.30,30,17,8,0,1,.680,831,204.1,184,17,44,3,190,85,75,1.12,3.02
3,成瀬　善久,ロッテ,3.31,28,13,11,0,0,.542,817,203.2,173,29,34,4,192,78,75,1.02,3.62
4,久保　康友,阪神,3.25,29,14,5,0,0,.737,819,202.1,183,22,45,12,158,75,73,1.13,3.74
5,ダルビッシュ　有,日本ハム,1.78,26,12,8,0,0,.600,805,202.0,158,5,47,7,222,48,40,1.01,2.05
6,岩隈　久志,楽天,2.82,28,10,9,0,0,.526,821,201.0,184,11,36,12,153,68,63,1.09,3.01
7,涌井　秀章,西武,3.67,27,14,8,0,0,.636,828,196.1,191,21,54,9,154,85,80,1.25,3.84
8,チェン,中日,2.87,29,13,10,0,1,.565,773,188.0,166,21,49,8,153,63,60,1.14,3.82
9,石川　雅規,ヤクルト,3.53,28,13,8,0,0,.619,783,186.1,209,20,27,7,98,81,73,1.27,3.99
10,永井　怜,楽天,3.74,27,10,10,0,0,.500,779,182.2,173,20,69,3,125,82,76,1.32,4.36
10,杉内　俊哉,ソフトバンク,3.55,27,16,7,0,0,.696,779,182.2,169,12,60,8,218,75,72,1.25,2.69
12,村中　恭兵,ヤクルト,3.44,28,11,10,0,0,.524,765,178.0,176,15,69,8,163,79,68,1.38,3.66
13,木佐貫　洋,オリックス,3.98,28,10,12,0,0,.455,767,174.1,174,9,71,13,140,85,77,1.41,3.63
14,和田　毅,ソフトバンク,3.14,26,17,8,0,0,.680,696,169.1,145,11,55,1,169,59,59,1.18,2.96
15,武田　勝,日本ハム,2.41,26,14,7,0,0,.667,661,168.1,161,12,19,1,106,47,45,1.07,3.13
16,由規,ヤクルト,3.60,25,12,9,0,0,.571,724,167.2,158,11,74,8,149,78,67,1.38,3.59
17,帆足　和幸,西武,3.69,27,11,8,0,0,.579,692,163.1,173,13,35,12,104,72,67,1.27,3.73
18,ケッペル,日本ハム,3.35,25,12,8,0,0,.600,669,158.2,156,10,53,9,85,67,59,1.32,4.02
19,東野　峻,巨人,3.27,27,13,8,0,0,.619,673,157.0,152,11,55,9,140,64,57,1.32,3.45
20,吉見　一起,中日,3.50,25,12,9,0,0,.571,659,156.2,159,19,25,5,115,67,61,1.17,3.73
21,清水　直行,横浜,5.40,26,10,11,0,0,.476,699,155.0,203,26,39,8,105,98,93,1.56,4.84
21,田中　将大,楽天,2.50,20,11,6,0,0,.647,643,155.0,159,9,32,5,119,47,43,1.23,3.04
23,ラズナー,楽天,4.48,26,5,11,0,0,.313,669,152.2,154,13,58,9,118,83,76,1.39,3.98
