順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,西岡　剛,ロッテ,.346,144,692,596,206,11,59,22,79,4,96,8,8,.423,.482,.904,7.81,7.46
2,坂本　勇人,巨人,.281,144,676,609,171,31,85,14,47,3,83,10,6,.332,.504,.836,6.03,6.00
3,マートン,阪神,.349,144,668,613,214,17,91,11,47,3,70,0,14,.395,.499,.894,7.32,6.96
4,青木　宣親,ヤクルト,.358,144,667,583,209,14,63,19,63,18,61,0,10,.435,.509,.944,8.87,8.30
5,川崎　宗則,ソフトバンク,.316,144,662,602,190,4,53,30,43,7,86,10,6,.368,.397,.765,5.62,5.33
5,田中　賢介,日本ハム,.335,143,662,576,193,5,54,34,72,2,66,7,6,.408,.417,.824,6.94,6.65
7,栗山　巧,西武,.310,144,660,554,172,4,74,14,80,5,69,18,7,.400,.403,.803,6.29,6.02
8,梵　英心,広島,.306,144,659,562,172,13,56,43,53,4,80,36,4,.368,.447,.814,5.95,5.77
9,鳥谷　敬,阪神,.301,144,651,575,173,19,104,13,66,3,93,2,14,.373,.475,.848,6.43,6.27
9,本多　雄一,ソフトバンク,.296,144,651,564,167,3,39,59,29,5,81,50,8,.334,.385,.719,4.39,4.25
11,井口　資仁,ロッテ,.294,143,650,531,156,17,103,2,98,14,114,0,13,.412,.476,.889,7.34,7.18
12,片岡　易之,西武,.295,137,643,576,170,13,54,59,43,5,72,14,9,.347,.434,.781,5.69,5.56
13,新井　貴浩,阪神,.311,144,641,570,177,19,112,7,52,11,89,0,19,.374,.484,.859,6.39,6.23
14,内川　聖一,横浜,.315,144,637,577,182,9,66,1,47,6,51,3,17,.371,.438,.809,5.79,5.54
14,田中　浩康,ヤクルト,.300,140,637,516,155,4,54,4,67,6,48,45,15,.385,.362,.748,4.82,4.69
16,後藤　光尊,オリックス,.295,143,632,590,174,16,73,2,32,8,96,0,20,.339,.441,.779,5.06,4.88
17,森野　将彦,中日,.327,144,626,547,179,22,84,2,64,6,77,2,16,.399,.537,.937,7.58,7.30
18,荒木　雅博,中日,.294,136,625,579,170,3,39,20,38,2,73,5,8,.339,.377,.715,4.70,4.49
19,坂口　智隆,オリックス,.308,138,622,558,172,5,50,12,52,4,77,7,13,.371,.427,.797,5.70,5.41
20,村田　修一,横浜,.257,144,617,565,145,26,88,0,45,4,124,0,19,.314,.448,.762,4.60,4.59
21,小谷野　栄一,日本ハム,.311,144,614,569,177,16,109,8,29,3,87,6,17,.344,.467,.811,5.52,5.36
21,金　泰均,ロッテ,.268,141,614,527,141,21,92,0,74,4,140,0,24,.357,.429,.786,5.04,5.16
23,ラミレス,巨人,.304,144,606,566,172,49,129,1,21,12,98,0,14,.338,.613,.951,7.12,7.13
24,大松　尚逸,ロッテ,.260,142,603,534,139,16,68,0,56,9,99,1,16,.339,.403,.741,4.58,4.56
25,城島　健司,阪神,.303,144,602,554,168,28,91,9,27,16,53,2,22,.352,.507,.859,5.88,5.76
25,和田　一浩,中日,.339,144,602,505,171,37,93,5,92,0,77,0,12,.437,.624,1.061,10.05,9.69
27,ブラゼル,阪神,.296,143,601,564,167,47,117,1,25,6,153,0,14,.329,.573,.902,6.51,6.59
28,山崎　武司,楽天,.239,141,598,540,129,28,93,1,45,7,147,0,10,.303,.446,.749,4.61,4.76
29,今江　敏晃,ロッテ,.331,140,596,531,176,10,77,8,22,8,66,30,10,.364,.461,.825,5.88,5.60
30,平野　恵一,阪神,.350,139,593,492,172,1,24,6,34,7,55,59,2,.399,.421,.820,5.93,5.55
31,小笠原　道大,巨人,.308,137,591,510,157,34,90,1,73,3,101,0,9,.394,.559,.953,8.07,7.95
31,稲葉　篤紀,日本ハム,.287,137,591,530,152,16,79,3,43,12,86,1,5,.351,.460,.811,6.09,5.94
33,石川　雄洋,横浜,.294,131,584,521,153,0,18,36,21,3,91,38,6,.324,.361,.685,4.06,3.87
34,糸井　嘉男,日本ハム,.309,138,583,488,151,15,64,26,71,10,94,13,7,.407,.482,.889,7.34,7.02
35,中島　裕之,西武,.314,130,579,503,158,20,93,15,52,13,97,0,20,.385,.511,.896,6.76,6.70
36,聖澤　諒,楽天,.290,135,577,517,150,6,43,24,32,3,96,24,4,.335,.389,.723,4.80,4.61
37,阿部　慎之助,巨人,.281,140,569,498,140,44,92,0,58,11,91,1,8,.368,.608,.976,7.91,7.78
38,ブランコ,中日,.264,134,561,493,130,32,86,0,57,9,158,0,13,.349,.501,.850,5.99,5.99
39,多村　仁志,ソフトバンク,.324,140,559,513,166,27,89,2,33,10,93,0,11,.374,.550,.924,7.37,7.10
40,鉄平,楽天,.318,127,555,481,153,9,64,13,53,9,57,5,3,.391,.464,.855,7.02,6.82
41,廣瀬　純,広島,.309,135,546,482,149,12,57,3,36,16,66,8,9,.374,.463,.836,6.33,6.09
42,スレッジ,横浜,.252,129,533,469,118,28,78,0,60,4,136,0,10,.341,.488,.830,5.77,5.73
43,中村　紀洋,楽天,.266,129,521,473,126,13,64,0,44,1,84,1,18,.329,.397,.726,4.25,4.19
44,Ｔ−岡田,オリックス,.284,129,520,461,131,33,96,0,49,6,136,0,11,.358,.575,.933,7.10,7.02
45,長谷川　勇也,ソフトバンク,.255,134,519,443,113,3,32,14,51,12,97,10,8,.346,.314,.660,4.11,4.09
46,宮本　慎也,ヤクルト,.276,129,517,468,129,4,39,2,27,3,31,18,10,.319,.357,.675,3.83,3.69
47,サブロー,ロッテ,.261,125,513,452,118,19,71,2,56,2,118,2,14,.344,.429,.774,5.00,5.01
48,森本　稀哲,日本ハム,.272,115,505,408,111,2,30,10,36,5,71,55,12,.338,.328,.666,3.53,3.45
49,カスティーヨ,横浜,.273,131,496,466,127,19,55,3,22,4,71,1,16,.309,.446,.755,4.43,4.39
50,飯原　誉士,ヤクルト,.270,130,492,430,116,15,48,8,36,19,74,5,10,.351,.435,.786,5.13,5.10
50,東出　輝裕,広島,.267,108,492,454,121,1,40,10,26,1,55,10,4,.307,.337,.644,3.59,3.51
52,嶋　基宏,楽天,.315,127,485,422,133,3,43,9,45,0,90,17,15,.380,.377,.757,4.93,4.71
53,カブレラ,オリックス,.331,112,481,408,135,24,82,1,69,2,91,0,14,.428,.569,.997,8.73,8.41
54,ブラウン,西武,.241,118,479,424,102,21,76,2,49,2,101,0,11,.319,.436,.756,4.59,4.71
55,相川　亮二,ヤクルト,.293,120,474,427,125,11,65,2,30,4,70,6,8,.340,.419,.759,5.14,5.13
56,小久保　裕紀,ソフトバンク,.279,112,469,427,119,15,68,1,34,4,69,1,4,.335,.436,.771,5.34,5.29
57,下園　辰哉,横浜,.286,131,461,402,115,3,28,1,49,2,82,6,8,.365,.376,.740,5.06,4.89
58,脇谷　亮太,巨人,.273,132,459,414,113,7,43,28,35,3,80,6,5,.333,.396,.729,5.03,4.88
58,長野　久義,巨人,.288,128,459,430,124,19,52,12,25,2,72,2,10,.330,.491,.821,5.63,5.43
60,松田　宣浩,ソフトバンク,.255,113,458,424,108,19,71,17,14,6,90,8,7,.284,.450,.735,4.45,4.56
61,オーティズ,ソフトバンク,.270,117,457,415,112,24,81,1,31,7,91,1,8,.329,.489,.818,5.64,5.65
62,栗原　健太,広島,.295,105,450,386,114,15,65,3,51,7,70,0,10,.382,.469,.851,6.39,6.36
