順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,田中　広輔,広島,.265,143,679,581,154,13,39,28,77,17,119,3,1,.367,.372,.739,5.16,5.16
2,秋山　翔吾,西武,.296,143,671,578,171,11,62,18,77,10,103,0,2,.385,.422,.807,6.54,6.40
3,大島　洋平,中日,.292,143,656,599,175,3,27,26,46,6,69,4,3,.348,.382,.730,5.09,4.88
4,丸　佳浩,広島,.291,143,652,557,162,20,90,23,84,7,107,1,9,.389,.481,.870,6.91,6.75
5,菊池　涼介,広島,.315,141,640,574,181,13,56,13,40,0,106,23,3,.358,.432,.790,5.77,5.58
6,田中　賢介,日本ハム,.272,143,626,541,147,2,53,22,69,9,56,3,4,.361,.312,.674,4.64,4.63
7,中田　翔,日本ハム,.250,141,624,569,142,25,110,2,47,3,126,0,14,.308,.431,.738,4.44,4.53
8,長野　久義,巨人,.283,143,618,576,163,11,42,8,33,5,78,1,7,.326,.403,.729,4.85,4.73
9,糸井　嘉男,オリックス,.306,143,616,532,163,17,70,53,75,7,84,0,13,.398,.451,.849,6.72,6.52
10,中村　晃,ソフトバンク,.287,143,612,488,140,7,50,6,99,12,53,9,8,.416,.377,.793,6.28,6.19
11,浅村　栄斗,西武,.309,143,611,557,172,24,82,8,38,7,108,3,18,.357,.510,.867,6.10,5.97
12,西野　真弘,オリックス,.264,143,610,538,142,2,33,16,56,2,55,13,7,.335,.331,.666,4.13,4.06
13,松田　宣浩,ソフトバンク,.259,143,609,548,142,27,85,6,48,8,141,0,14,.325,.467,.792,5.01,5.08
14,角中　勝也,ロッテ,.339,143,607,525,178,8,69,12,68,6,64,2,8,.417,.461,.877,7.62,7.28
14,坂口　智隆,ヤクルト,.295,141,607,526,155,0,39,7,63,8,66,5,5,.375,.340,.716,5.16,5.10
16,内川　聖一,ソフトバンク,.304,141,605,556,169,18,106,3,38,2,53,0,27,.345,.435,.781,4.87,4.89
17,中島　卓也,日本ハム,.243,143,600,473,115,0,28,23,63,1,117,62,5,.333,.268,.601,3.16,3.17
18,レアード,日本ハム,.263,143,598,547,144,39,97,0,44,3,138,0,16,.319,.516,.835,5.49,5.58
19,西川　遥輝,日本ハム,.314,138,593,493,155,5,43,41,73,3,113,22,0,.405,.398,.802,6.89,6.64
20,今宮　健太,ソフトバンク,.245,137,590,497,122,10,56,8,47,3,86,38,7,.312,.370,.682,3.82,3.87
20,山田　哲人,ヤクルト,.304,133,590,481,146,38,102,30,97,8,101,0,16,.425,.607,1.032,9.34,9.16
22,ウィーラー,楽天,.265,140,589,517,137,27,88,2,58,12,123,0,10,.351,.478,.829,5.95,5.92
23,鈴木　大地,ロッテ,.285,143,583,501,143,6,61,3,50,9,56,16,9,.356,.389,.745,5.06,4.98
23,メヒア,西武,.252,137,583,511,129,35,103,1,59,6,148,0,15,.333,.509,.842,5.62,5.75
25,村田　修一,巨人,.302,143,576,529,160,25,81,1,38,5,83,2,21,.354,.505,.858,5.84,5.68
25,坂本　勇人,巨人,.344,137,576,488,168,23,75,13,81,0,67,1,6,.433,.555,.988,9.40,9.07
27,デスパイネ,ロッテ,.280,134,570,496,139,24,92,0,64,3,89,0,25,.361,.480,.841,5.48,5.51
28,栗山　巧,西武,.279,135,569,477,133,3,41,0,83,6,87,0,9,.390,.369,.759,5.70,5.57
29,倉本　寿彦,DeNA,.294,141,566,534,157,1,38,2,22,2,98,5,13,.323,.343,.665,3.75,3.64
30,筒香　嘉智,DeNA,.322,133,561,469,151,44,110,0,87,3,105,0,6,.430,.680,1.110,10.60,10.27
31,陽　岱鋼,日本ハム,.293,130,555,495,145,14,61,5,42,10,121,7,10,.359,.430,.790,5.39,5.24
32,ゴメス,阪神,.255,139,554,498,127,22,79,2,48,5,130,0,13,.325,.428,.753,4.71,4.75
33,バレンティン,ヤクルト,.269,132,537,457,123,31,96,0,72,3,116,0,19,.369,.516,.885,6.24,6.31
34,柳田　悠岐,ソフトバンク,.306,120,536,428,131,18,73,23,100,8,97,0,8,.446,.523,.969,9.29,8.88
35,鳥谷　敬,阪神,.236,143,533,449,106,7,36,13,75,2,80,1,12,.344,.323,.667,4.10,4.25
36,髙山　俊,阪神,.275,134,530,494,136,8,65,5,27,4,109,2,8,.316,.391,.707,4.29,4.21
37,鈴木　誠也,広島,.335,129,528,466,156,29,95,16,53,3,79,3,10,.404,.612,1.015,8.51,8.22
38,福留　孝介,阪神,.311,131,523,453,141,11,59,0,61,3,78,0,6,.392,.453,.845,6.84,6.67
39,桑原　将志,DeNA,.284,133,522,462,131,11,49,19,38,14,93,8,5,.356,.413,.769,5.28,5.13
40,金子　侑司,西武,.265,129,520,460,122,1,33,53,40,6,69,13,5,.331,.311,.642,3.94,3.90
41,ロペス,DeNA,.263,123,518,483,127,34,95,0,24,4,75,0,12,.299,.534,.833,5.41,5.54
42,新井　貴浩,広島,.300,132,513,454,136,19,101,0,54,1,101,0,12,.372,.485,.857,6.39,6.28
42,Ｔ－岡田,オリックス,.284,123,513,454,129,20,76,5,47,7,105,0,12,.357,.471,.828,5.93,5.87
44,堂上　直倫,中日,.254,131,507,456,116,6,46,1,27,2,69,20,14,.298,.362,.660,3.34,3.27
45,銀次,楽天,.274,125,497,424,116,2,43,1,61,5,49,4,20,.369,.333,.702,4.24,4.16
46,平田　良介,中日,.248,118,494,416,103,14,73,4,72,2,89,0,5,.358,.411,.769,5.49,5.53
47,安達　了一,オリックス,.273,118,488,403,110,1,34,6,42,4,53,35,4,.344,.323,.667,3.89,3.88
48,岡島　豪郎,楽天,.252,127,485,420,106,6,35,7,46,10,49,6,4,.338,.345,.683,4.14,4.19
49,茂木　栄五郎,楽天,.278,117,481,424,118,7,40,11,30,4,95,21,8,.330,.408,.738,4.58,4.46
50,ビシエド,中日,.274,119,471,416,114,22,68,1,44,8,68,0,13,.352,.486,.838,5.88,5.86
51,ギャレット,巨人,.258,123,465,422,109,24,68,0,39,4,106,0,10,.327,.486,.813,5.37,5.34
52,小林　誠司,巨人,.204,129,458,398,81,4,35,2,36,4,76,19,10,.276,.269,.544,2.18,2.24
52,川端　慎吾,ヤクルト,.302,103,458,420,127,1,32,3,34,1,31,1,13,.354,.367,.721,4.72,4.51
54,梶谷　隆幸,DeNA,.273,107,450,396,108,18,56,26,49,4,110,1,2,.359,.480,.838,6.51,6.38
55,藤田　一也,楽天,.265,120,449,408,108,0,46,1,19,1,44,18,7,.297,.321,.618,3.16,3.13
