順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
42,森野　将彦,中日,.249,124,494,434,108,6,50,1,49,3,68,4,13,.327,.348,.674,3.87,3.89
43,新井　貴浩,阪神,.250,122,493,460,115,9,52,1,30,1,85,0,12,.296,.363,.659,3.43,3.40
44,フェルナンデス,楽天,.243,129,489,440,107,3,51,2,44,2,67,0,11,.313,.311,.624,3.25,3.28
45,銀次,楽天,.280,126,485,432,121,4,45,8,22,4,37,23,4,.318,.354,.672,3.98,3.94
46,川端　崇義,オリックス,.266,125,484,429,114,2,27,6,22,9,59,24,8,.315,.317,.632,3.36,3.25
47,岡田　幸文,ロッテ,.262,131,482,431,113,0,18,23,18,6,47,25,4,.300,.288,.587,2.82,2.85
48,長谷川　勇也,ソフトバンク,.278,126,473,403,112,4,37,16,40,9,87,16,4,.352,.360,.712,4.77,4.76
48,マートン,阪神,.260,121,473,453,118,5,38,2,18,1,56,0,14,.290,.342,.632,3.01,2.96
50,栗山　巧,西武,.289,103,467,394,114,2,33,3,52,6,62,12,4,.378,.353,.731,5.28,5.18
51,浅村　栄斗,西武,.245,114,459,404,99,7,37,13,34,4,63,13,9,.307,.376,.683,3.79,3.84
52,谷繁　元信,中日,.228,134,458,386,88,5,32,0,52,4,67,14,15,.324,.303,.627,3.11,3.16
53,秋山　翔吾,西武,.293,107,450,403,118,4,37,10,28,3,70,15,7,.343,.404,.747,4.82,4.63
54,筒香　嘉智,DeNA,.218,108,446,386,84,10,45,1,51,2,102,2,4,.309,.352,.661,3.80,3.98
