順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,長野　久義,巨人,.301,144,653,574,173,14,60,20,75,1,100,2,5,.382,.432,.815,6.45,6.20
2,大島　洋平,中日,.310,144,631,555,172,1,13,32,46,13,80,17,7,.376,.368,.744,5.13,4.91
3,鳥谷　敬,阪神,.262,144,624,515,135,8,59,15,94,2,91,5,12,.373,.375,.748,5.28,5.33
4,坂本　勇人,巨人,.311,144,619,557,173,14,69,16,39,6,90,12,5,.359,.456,.815,6.29,6.06
5,中田　翔,日本ハム,.239,144,606,547,131,24,77,5,50,5,101,0,8,.307,.420,.727,4.44,4.54
6,李　大浩,オリックス,.286,144,601,525,150,24,91,0,64,7,85,0,18,.368,.478,.846,5.99,5.95
7,陽　岱鋼,日本ハム,.287,144,599,533,153,7,55,17,37,6,123,18,10,.337,.398,.735,4.70,4.59
8,糸井　嘉男,日本ハム,.304,134,597,510,155,9,48,22,75,11,86,0,9,.404,.410,.813,6.47,6.26
9,聖澤　諒,楽天,.270,138,595,523,141,4,45,54,49,7,104,12,4,.338,.331,.669,4.55,4.54
10,田中　浩康,ヤクルト,.274,139,593,486,133,2,40,1,54,9,60,40,15,.354,.323,.677,3.89,3.86
11,和田　一浩,中日,.285,144,586,508,145,9,63,2,71,1,72,0,14,.370,.409,.780,5.57,5.47
12,根元　俊一,ロッテ,.279,133,584,512,143,9,41,6,31,1,98,40,7,.322,.396,.718,4.16,4.01
13,ヘルマン,西武,.270,144,583,507,137,3,60,41,57,4,75,10,20,.346,.343,.689,4.06,4.05
14,井口　資仁,ロッテ,.255,140,578,505,129,11,60,3,53,16,99,0,11,.343,.384,.727,4.73,4.70
15,村田　修一,巨人,.252,144,575,516,130,12,58,1,36,15,85,2,16,.316,.374,.690,3.83,3.89
15,梵　英心,広島,.244,137,575,499,122,10,52,14,50,1,70,19,7,.311,.359,.670,3.77,3.85
17,バルディリス,オリックス,.264,143,574,503,133,10,55,1,54,14,76,0,13,.350,.394,.744,4.90,4.80
18,荒木　雅博,中日,.251,129,569,510,128,3,31,12,19,2,65,36,4,.280,.314,.593,2.93,2.89
19,内川　聖一,ソフトバンク,.300,138,567,523,157,7,53,6,31,6,36,0,12,.342,.392,.734,4.81,4.73
19,中島　裕之,西武,.311,136,567,499,155,13,74,7,52,9,76,1,10,.382,.451,.833,6.29,6.14
19,明石　健志,ソフトバンク,.254,135,567,508,129,1,27,25,33,2,98,23,2,.301,.299,.601,3.21,3.21
22,サブロー,ロッテ,.239,137,560,476,114,7,52,0,78,2,105,0,12,.346,.342,.689,4.29,4.32
23,阿部　慎之助,巨人,.340,138,556,467,159,27,104,0,69,9,47,2,11,.429,.565,.994,9.00,8.79
24,堂林　翔太,広島,.242,144,554,488,118,14,45,5,44,14,150,5,8,.321,.395,.716,4.40,4.42
25,井端　弘和,中日,.284,140,553,489,139,2,35,4,52,3,58,8,14,.356,.331,.687,4.18,4.06
26,荒波　翔,DeNA,.268,141,550,504,135,1,25,24,23,5,90,16,2,.305,.333,.639,3.59,3.52
26,小谷野　栄一,日本ハム,.228,134,550,478,109,3,39,6,27,4,72,40,8,.275,.293,.567,2.48,2.47
28,後藤　光尊,オリックス,.242,131,546,520,126,4,43,3,14,5,74,1,8,.266,.306,.572,2.60,2.69
28,ミレッジ,ヤクルト,.300,125,546,476,143,21,65,9,57,6,79,3,11,.379,.485,.865,6.46,6.34
30,本多　雄一,ソフトバンク,.246,123,536,480,118,0,31,34,37,1,65,14,6,.299,.294,.593,3.26,3.30
31,角中　勝也,ロッテ,.312,128,525,477,149,3,61,8,38,5,68,1,9,.366,.415,.782,5.67,5.43
32,平野　恵一,阪神,.245,134,519,458,112,1,24,6,42,4,61,15,4,.313,.271,.584,3.12,3.13
33,ペーニャ,ソフトバンク,.280,130,507,461,129,21,76,2,35,8,130,0,11,.339,.490,.829,5.80,5.68
33,川端　慎吾,ヤクルト,.298,125,507,453,135,4,49,3,35,2,56,13,7,.348,.380,.728,4.82,4.72
35,田中　賢介,日本ハム,.300,114,505,457,137,3,32,13,35,2,36,8,2,.350,.363,.713,4.81,4.70
36,ラミレス,DeNA,.300,137,504,476,143,19,76,0,18,7,60,0,18,.333,.473,.806,5.26,5.13
37,今江　敏晃,ロッテ,.253,136,501,446,113,6,47,0,19,5,37,23,15,.287,.354,.641,2.98,3.08
38,中村　紀洋,DeNA,.274,126,500,442,121,11,61,1,50,2,72,0,14,.346,.407,.753,4.86,4.87
39,中村　剛也,西武,.231,123,498,432,100,27,79,2,56,9,125,0,11,.331,.461,.792,5.04,5.16
40,稲葉　篤紀,日本ハム,.290,127,497,449,130,10,61,0,32,5,70,8,3,.342,.421,.762,5.38,5.22
40,畠山　和洋,ヤクルト,.266,121,497,455,121,13,55,2,37,2,64,1,13,.323,.402,.725,4.39,4.35
