順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,田中　広輔,広島,.290,143,679,565,164,8,60,35,89,15,120,6,5,.398,.407,.805,6.41,6.26
2,桑原　将志,DeNA,.269,143,664,598,161,13,52,10,45,11,116,10,8,.332,.415,.747,4.68,4.54
3,秋山　翔吾,西武,.322,143,659,575,185,25,89,16,72,5,97,0,4,.398,.536,.933,8.20,7.96
4,丸　佳浩,広島,.308,143,651,556,171,23,92,13,83,4,113,2,6,.398,.505,.903,7.70,7.52
5,源田　壮亮,西武,.270,143,647,575,155,3,57,37,36,6,100,26,5,.317,.351,.669,4.08,4.03
6,浅村　栄斗,西武,.291,143,633,574,167,19,99,5,44,8,96,1,17,.347,.453,.799,5.47,5.39
7,菊池　涼介,広島,.271,138,629,565,153,14,56,8,32,1,107,30,9,.311,.405,.716,4.10,4.01
8,山田　哲人,ヤクルト,.247,143,624,526,130,24,78,14,91,6,132,0,15,.364,.435,.799,5.57,5.57
9,今宮　健太,ソフトバンク,.264,141,623,526,139,14,64,15,38,4,93,52,12,.317,.422,.739,4.26,4.20
9,西川　遥輝,日本ハム,.296,138,623,541,160,9,44,39,69,4,103,6,6,.378,.416,.794,6.37,6.17
11,坂本　勇人,巨人,.291,142,614,539,157,15,61,14,68,3,85,1,16,.372,.430,.802,5.69,5.55
12,坂口　智隆,ヤクルト,.290,136,607,535,155,4,38,4,59,5,76,5,6,.364,.350,.713,4.95,4.86
13,ロペス,DeNA,.301,142,606,569,171,30,105,0,27,2,80,0,14,.330,.533,.863,6.13,6.05
14,ウィーラー,楽天,.271,142,605,542,147,31,82,7,50,10,98,0,14,.342,.493,.835,5.79,5.76
15,京田　陽太,中日,.264,141,602,564,149,4,36,23,18,9,105,10,5,.297,.355,.652,3.58,3.50
16,筒香　嘉智,DeNA,.284,139,601,503,143,28,94,1,93,2,115,0,7,.396,.513,.909,7.59,7.45
17,中村　晃,ソフトバンク,.270,143,600,511,138,6,42,3,67,3,57,14,5,.355,.350,.705,4.63,4.65
18,Ｔ－岡田,オリックス,.266,143,593,504,134,31,68,2,83,5,141,0,10,.374,.488,.862,6.55,6.53
19,銀次,楽天,.293,143,590,529,155,3,60,2,56,2,74,1,11,.362,.367,.728,4.99,4.79
20,鈴木　大地,ロッテ,.260,143,588,508,132,11,52,6,55,18,85,3,7,.350,.398,.748,5.06,5.04
21,マギー,巨人,.315,139,586,523,165,18,77,4,58,1,107,0,20,.382,.514,.897,6.79,6.46
22,梶谷　隆幸,DeNA,.243,137,578,511,124,21,60,21,62,3,157,0,10,.327,.427,.754,5.00,5.00
23,松田　宣浩,ソフトバンク,.264,143,577,531,140,24,71,5,43,1,128,0,16,.319,.458,.777,4.84,4.84
23,島内　宏明,楽天,.265,143,577,494,131,14,47,3,64,4,67,12,8,.352,.391,.743,4.82,4.86
25,レアード,日本ハム,.229,137,571,503,115,32,90,0,54,7,125,0,18,.308,.459,.767,4.51,4.76
26,鳥谷　敬,阪神,.293,143,570,488,143,4,41,8,77,2,62,1,13,.390,.377,.767,5.46,5.29
27,柳田　悠岐,ソフトバンク,.310,130,551,448,139,31,99,14,89,7,123,0,6,.426,.589,1.016,9.17,8.99
28,デスパイネ,ソフトバンク,.262,136,545,478,125,35,103,3,59,5,119,0,14,.347,.513,.859,6.01,6.09
29,中田　翔,日本ハム,.216,129,542,472,102,16,67,0,61,5,103,0,14,.310,.367,.676,3.69,3.85
30,倉本　寿彦,DeNA,.262,143,539,507,133,2,50,3,18,4,102,9,10,.292,.331,.624,3.20,3.08
31,福留　孝介,阪神,.263,127,526,441,116,18,79,1,77,3,92,1,17,.373,.444,.818,5.61,5.63
32,宮﨑　敏郎,DeNA,.323,128,523,480,155,15,62,0,38,4,47,0,23,.377,.479,.856,6.08,5.78
33,大島　洋平,中日,.313,119,521,476,149,3,29,23,37,4,66,1,5,.365,.387,.752,5.64,5.43
34,バレンティン,ヤクルト,.254,125,519,445,113,32,80,0,70,3,112,0,18,.358,.506,.864,5.88,5.95
35,ペゲーロ,楽天,.281,120,517,463,130,26,75,3,50,4,139,0,16,.356,.490,.846,5.83,5.75
36,長野　久義,巨人,.261,134,516,463,121,16,46,6,46,5,98,1,17,.334,.421,.755,4.72,4.66
37,阿部　慎之助,巨人,.262,129,512,455,119,15,76,0,41,8,67,1,13,.329,.389,.718,4.35,4.51
37,鈴木　誠也,広島,.300,115,512,437,131,26,90,16,62,6,80,0,12,.389,.547,.936,7.44,7.40
39,ゲレーロ,中日,.279,130,510,469,131,35,86,1,24,15,98,0,13,.333,.563,.896,6.38,6.35
40,小谷野　栄一,オリックス,.277,130,506,470,130,6,47,0,28,3,60,3,13,.320,.349,.669,3.81,3.75
41,糸井　嘉男,阪神,.290,114,493,427,124,17,62,21,59,5,62,0,12,.381,.447,.829,6.23,6.16
42,外崎　修汰,西武,.258,135,489,438,113,10,48,23,33,5,109,10,4,.315,.390,.706,4.60,4.57
42,中島　宏之,オリックス,.285,124,489,431,123,9,49,0,46,7,93,0,11,.360,.392,.752,5.14,5.12
44,上本　博紀,阪神,.284,125,488,409,116,9,38,16,50,4,71,23,7,.366,.403,.769,5.47,5.34
45,中村　悠平,ヤクルト,.243,127,486,419,102,4,34,2,42,10,65,11,14,.324,.325,.649,3.46,3.53
45,中村　剛也,西武,.217,115,486,415,90,27,79,1,61,4,118,0,12,.319,.446,.765,4.69,4.98
47,アマダー,楽天,.237,121,460,417,99,23,65,0,39,2,102,0,18,.304,.424,.729,3.92,4.09
48,大田　泰示,日本ハム,.258,118,457,427,110,15,46,5,28,0,88,0,14,.302,.417,.719,4.06,4.06
49,中谷　将大,阪神,.241,133,455,411,99,20,61,2,36,5,96,0,5,.308,.443,.751,4.78,4.85
49,安部　友裕,広島,.310,123,455,413,128,4,49,17,27,2,94,12,3,.354,.400,.754,5.38,5.14
51,上林　誠知,ソフトバンク,.260,134,453,415,108,13,51,12,24,2,96,10,3,.302,.434,.736,4.28,4.25
