順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,川崎　宗則,ソフトバンク,.267,144,655,603,161,1,37,31,36,3,84,9,5,.310,.327,.636,3.74,3.71
2,栗山　巧,西武,.307,144,653,557,171,3,60,6,73,8,90,9,17,.391,.384,.776,5.60,5.45
3,坂口　智隆,オリックス,.297,144,651,590,175,3,45,5,54,4,77,2,11,.359,.369,.729,4.90,4.71
4,青木　宣親,ヤクルト,.292,144,643,583,170,4,44,8,51,9,55,0,6,.358,.360,.718,5.07,4.86
5,岡田　幸文,ロッテ,.267,144,635,577,154,0,35,41,28,9,66,20,5,.311,.293,.603,3.43,3.40
6,中島　裕之,西武,.297,144,633,566,168,16,100,21,44,12,93,0,11,.354,.433,.787,5.81,5.83
6,本多　雄一,ソフトバンク,.305,144,633,522,159,0,43,60,53,1,78,53,4,.367,.368,.735,5.05,4.90
8,坂本　勇人,巨人,.262,144,624,568,149,16,59,8,37,6,91,10,3,.313,.401,.714,4.63,4.55
9,中村　剛也,西武,.269,144,622,525,141,48,116,4,79,12,134,0,15,.373,.600,.973,7.56,7.61
10,田中　浩康,ヤクルト,.252,142,619,511,129,1,40,2,40,3,63,62,9,.309,.292,.600,2.87,2.87
11,平野　恵一,阪神,.295,142,615,542,160,1,29,6,33,5,67,34,6,.341,.343,.684,4.09,3.94
12,マートン,阪神,.311,142,606,579,180,13,60,6,24,1,76,1,13,.339,.423,.762,5.08,4.87
13,陽　岱鋼,日本ハム,.274,141,603,537,147,6,36,19,22,5,134,38,5,.308,.365,.673,3.98,3.85
14,新井　貴浩,阪神,.269,144,602,550,148,17,93,5,41,4,106,0,20,.321,.418,.739,4.45,4.49
15,東出　輝裕,広島,.278,137,601,543,151,0,27,8,35,3,71,18,7,.324,.320,.645,3.66,3.58
16,井口　資仁,ロッテ,.265,140,597,509,135,9,73,1,72,9,96,0,11,.362,.375,.737,5.04,5.07
17,栗原　健太,広島,.293,144,596,536,157,17,87,0,40,12,84,0,11,.351,.442,.793,5.60,5.54
18,森野　将彦,中日,.232,142,595,508,118,10,45,0,64,5,89,13,9,.321,.329,.650,3.71,3.83
19,荒木　雅博,中日,.263,135,593,543,143,2,24,18,36,3,73,10,4,.312,.319,.631,3.58,3.51
20,村田　修一,横浜,.253,144,592,530,134,20,70,0,44,12,103,0,19,.321,.423,.744,4.43,4.48
21,鳥谷　敬,阪神,.300,144,590,500,150,5,51,16,78,4,72,3,10,.395,.414,.809,6.41,6.23
22,畠山　和洋,ヤクルト,.269,142,583,494,133,23,85,1,78,6,94,1,10,.373,.462,.834,6.27,6.23
23,松田　宣浩,ソフトバンク,.282,144,582,525,148,25,83,27,41,10,128,3,11,.344,.510,.854,6.10,5.99
24,長野　久義,巨人,.316,140,578,519,164,17,69,19,48,6,85,3,11,.379,.468,.847,6.46,6.23
24,糸井　嘉男,日本ハム,.319,137,578,489,156,11,54,31,59,19,91,9,5,.411,.448,.859,7.43,7.11
26,フェルナンデス,西武,.259,142,577,529,137,17,81,3,39,2,84,0,19,.308,.395,.704,3.87,3.97
27,中田　翔,日本ハム,.237,143,572,527,125,18,91,4,31,6,133,0,12,.283,.408,.691,3.84,3.96
27,松井　稼頭央,楽天,.260,139,572,538,140,9,48,15,26,1,94,4,8,.294,.381,.675,3.95,3.87
29,聖澤　諒,楽天,.288,144,559,496,143,2,42,52,31,8,109,21,5,.338,.343,.681,4.36,4.28
30,バレンティン,ヤクルト,.228,140,555,486,111,31,76,3,61,2,131,0,15,.314,.469,.783,4.79,4.96
31,後藤　光尊,オリックス,.312,130,553,526,164,8,55,14,17,5,74,0,9,.336,.409,.745,5.02,4.88
32,Ｔ−岡田,オリックス,.260,134,550,492,128,16,85,4,39,15,116,0,10,.331,.411,.741,4.84,4.85
33,バルディリス,オリックス,.267,137,544,479,128,18,66,2,38,19,72,3,12,.342,.418,.759,4.87,4.95
34,今江　敏晃,ロッテ,.269,134,543,499,134,8,51,2,20,8,48,10,13,.304,.381,.685,3.83,3.81
35,石川　雄洋,横浜,.260,125,530,466,121,0,22,12,30,2,95,32,8,.307,.288,.595,2.86,2.81
36,小谷野　栄一,日本ハム,.237,129,525,473,112,5,47,1,35,4,90,6,17,.291,.317,.608,2.79,2.91
37,和田　一浩,中日,.232,131,522,444,103,12,54,6,72,2,64,0,12,.339,.385,.724,4.52,4.56
38,稲葉　篤紀,日本ハム,.262,137,518,473,124,12,54,4,27,8,71,7,4,.311,.397,.709,4.43,4.40
38,宮本　慎也,ヤクルト,.302,136,518,474,143,2,35,2,17,6,37,19,14,.333,.354,.687,3.97,3.81
40,ラミレス,巨人,.279,137,515,477,133,23,73,2,30,3,72,0,9,.322,.453,.775,5.15,5.22
41,大引　啓次,オリックス,.244,127,501,405,99,1,34,3,52,1,66,42,3,.331,.299,.630,3.47,3.44
42,浅村　栄斗,西武,.268,137,498,437,117,9,45,7,37,3,52,18,8,.327,.382,.709,4.35,4.32
43,丸　佳浩,広島,.241,131,495,435,105,9,50,9,44,6,105,9,2,.319,.359,.678,4.07,4.09
44,伊志嶺　翔大,ロッテ,.261,126,492,422,110,2,21,32,30,13,77,27,3,.329,.341,.670,4.26,4.14
45,高須　洋介,楽天,.277,128,472,429,119,1,30,5,29,5,39,8,10,.330,.312,.642,3.60,3.53
46,渡辺　直人,横浜,.266,126,469,403,107,1,24,7,36,11,73,19,13,.342,.323,.665,3.62,3.52
47,内川　聖一,ソフトバンク,.338,114,463,429,145,12,74,4,25,2,48,0,3,.371,.485,.856,7.12,6.92
48,相川　亮二,ヤクルト,.244,126,458,409,100,1,33,0,30,4,62,11,13,.300,.291,.591,2.74,2.76
49,川端　慎吾,ヤクルト,.268,117,457,399,107,4,46,0,40,0,51,15,5,.333,.363,.696,4.36,4.27
50,ブラゼル,阪神,.282,120,456,422,119,16,69,0,21,7,71,0,15,.322,.445,.768,4.71,4.74
51,長谷川　勇也,ソフトバンク,.293,125,455,392,115,4,34,13,47,8,87,6,2,.379,.388,.766,6.03,5.81
