順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,陽　岱鋼,日本ハム,.282,144,658,574,162,18,67,47,69,9,142,4,9,.367,.430,.797,6.05,5.92
2,鳥谷　敬,阪神,.282,144,643,532,150,10,65,15,104,4,65,1,12,.402,.410,.812,6.28,6.13
3,長野　久義,巨人,.281,144,642,590,166,19,65,14,48,1,101,3,6,.336,.424,.760,5.27,5.15
4,栗山　巧,西武,.279,144,637,527,147,12,73,6,99,6,96,1,8,.396,.414,.810,6.37,6.27
4,長谷川　勇也,ソフトバンク,.341,144,637,580,198,19,83,12,47,5,111,0,5,.392,.510,.903,7.89,7.57
6,秋山　翔吾,西武,.270,144,634,564,152,13,58,13,49,7,89,12,8,.334,.408,.742,4.83,4.75
7,内川　聖一,ソフトバンク,.316,144,633,570,180,19,92,1,46,12,47,0,23,.376,.477,.853,6.22,6.03
7,菊池　涼介,広島,.247,141,633,538,133,11,57,16,38,2,121,50,4,.297,.374,.670,3.65,3.68
9,松田　宣浩,ソフトバンク,.279,144,626,584,163,20,90,13,27,6,124,2,11,.314,.443,.758,4.78,4.80
10,ヘルマン,西武,.319,144,623,518,165,4,55,40,85,7,87,8,20,.418,.396,.814,5.92,5.79
11,坂本　勇人,巨人,.265,144,620,554,147,12,54,24,55,4,87,4,11,.334,.394,.728,4.84,4.75
11,浅村　栄斗,西武,.317,144,620,543,172,27,110,14,61,5,88,7,9,.388,.554,.943,7.64,7.37
13,マートン,阪神,.314,143,613,566,178,19,85,6,42,1,81,0,25,.361,.484,.845,5.87,5.65
14,ジョーンズ,楽天,.243,143,604,478,116,26,94,4,105,15,164,0,15,.391,.454,.845,6.20,6.35
15,糸井　嘉男,オリックス,.300,141,601,524,157,17,61,33,66,8,93,0,6,.384,.468,.852,6.94,6.74
15,丸　佳浩,広島,.273,140,601,506,138,14,58,29,85,1,103,5,6,.376,.425,.801,5.83,5.77
17,今宮　健太,ソフトバンク,.253,143,600,491,124,5,43,10,35,9,94,62,7,.312,.346,.658,3.52,3.47
18,村田　修一,巨人,.316,144,595,519,164,25,87,1,50,13,74,6,11,.385,.511,.896,7.11,7.01
19,李　大浩,オリックス,.303,141,593,521,158,24,91,0,64,6,80,0,20,.384,.493,.878,6.57,6.38
20,マギー,楽天,.292,144,590,513,150,28,93,2,70,2,119,0,12,.376,.515,.891,6.80,6.72
21,バルディリス,オリックス,.289,142,585,512,148,17,91,1,54,15,67,0,17,.371,.441,.812,5.80,5.70
22,和田　一浩,中日,.275,142,581,495,136,18,76,2,77,2,63,0,26,.370,.434,.804,5.24,5.30
23,アブレイユ,日本ハム,.284,138,571,504,143,31,95,0,57,4,132,0,14,.357,.506,.863,6.21,6.27
24,井口　資仁,ロッテ,.297,135,566,485,144,23,83,4,67,10,81,0,13,.390,.511,.902,7.08,6.93
25,小谷野　栄一,日本ハム,.275,139,559,512,141,3,46,2,26,3,77,8,9,.309,.342,.650,3.55,3.63
25,根元　俊一,ロッテ,.262,123,559,485,127,8,45,9,52,5,85,14,7,.338,.353,.690,4.41,4.39
27,ブランコ,DeNA,.333,134,558,483,161,41,136,1,62,9,118,0,10,.416,.634,1.049,9.49,9.23
28,大島　洋平,中日,.248,140,555,499,124,3,27,19,37,6,69,10,2,.306,.311,.617,3.46,3.48
29,鈴木　大地,ロッテ,.264,144,551,481,127,5,50,2,38,12,66,14,8,.330,.383,.712,4.33,4.33
29,今江　敏晃,ロッテ,.325,132,551,508,165,10,74,5,26,4,45,2,12,.355,.435,.790,5.64,5.57
31,西岡　剛,阪神,.290,122,549,497,144,4,44,11,45,1,65,0,6,.346,.382,.728,5.08,4.97
32,新井　貴浩,阪神,.267,140,548,476,127,15,70,2,60,5,110,0,17,.350,.403,.754,4.74,4.83
33,バレンティン,ヤクルト,.330,130,547,439,145,60,131,0,103,1,105,0,14,.455,.779,1.234,12.06,11.79
34,藤田　一也,楽天,.275,128,536,466,128,1,48,3,21,12,43,33,7,.320,.326,.646,3.55,3.51
35,阿部　慎之助,巨人,.296,135,529,422,125,32,91,0,86,15,59,0,8,.427,.564,.991,8.92,8.85
36,銀次,楽天,.317,131,525,482,153,4,54,3,36,2,44,1,14,.365,.405,.769,5.28,5.07
36,角中　勝也,ロッテ,.288,125,525,462,133,5,43,10,50,4,63,6,3,.360,.403,.763,5.49,5.33
38,石川　雄洋,DeNA,.275,119,523,459,126,5,41,5,51,8,76,5,6,.357,.351,.708,4.79,4.70
39,嶋　基宏,楽天,.257,134,507,447,115,4,48,3,39,2,92,16,14,.318,.318,.635,3.21,3.22
40,松井　稼頭央,楽天,.248,125,497,448,111,11,58,1,40,3,85,2,4,.311,.388,.700,4.34,4.35
41,大引　啓次,日本ハム,.266,120,492,402,107,3,32,13,50,8,86,32,9,.359,.333,.692,4.26,4.16
41,中村　晃,ソフトバンク,.307,109,492,427,131,5,44,7,54,7,59,2,12,.392,.403,.795,5.60,5.42
43,聖澤　諒,楽天,.284,120,491,433,123,2,40,21,44,5,100,9,3,.357,.356,.713,4.89,4.72
44,荒波　翔,DeNA,.258,126,490,445,115,2,30,19,37,2,96,4,9,.317,.337,.654,3.64,3.57
45,伊藤　光,オリックス,.285,137,475,410,117,3,40,4,24,3,84,35,10,.327,.366,.693,3.96,3.84
46,中村　紀洋,DeNA,.281,122,473,431,121,14,61,1,32,5,66,0,20,.334,.427,.761,4.59,4.60
47,本多　雄一,ソフトバンク,.283,120,471,406,115,2,37,22,42,2,62,19,1,.352,.347,.699,4.80,4.70
48,安達　了一,オリックス,.235,131,470,395,93,5,30,16,27,9,80,38,4,.299,.316,.615,3.17,3.18
49,炭谷　銀仁朗,西武,.215,141,468,413,89,5,43,1,30,4,62,19,14,.274,.291,.564,2.20,2.27
50,クラーク,中日,.238,132,467,407,97,25,70,0,49,7,130,0,7,.328,.457,.785,5.20,5.38
50,ロペス,巨人,.303,121,467,429,130,18,55,1,25,5,57,5,12,.346,.490,.836,5.82,5.66
52,中田　翔,日本ハム,.305,108,459,407,124,28,73,1,45,6,77,0,11,.381,.550,.932,7.30,7.15
53,森野　将彦,中日,.286,134,457,399,114,16,51,1,54,0,61,2,10,.369,.461,.830,6.11,6.01
